,index,season no.,episode no.,episode name,name,line
1290,1673,3,3,Pickle Rick,Pickle Rick,Morty.
1291,1674,3,3,Pickle Rick,Morty,Rick?
1292,1675,3,3,Pickle Rick,Pickle Rick,Morty!
1293,1676,3,3,Pickle Rick,Morty,Rick?
1294,1677,3,3,Pickle Rick,Pickle Rick,"Hey, Mooorty!"
1295,1678,3,3,Pickle Rick,Morty,"Rick? Are you far away, or are you inside something?"
1296,1679,3,3,Pickle Rick,Pickle Rick,"Morty, the garage, Morty. Come to the garage!"
1297,1680,3,3,Pickle Rick,Pickle Rick,Morty?
1298,1681,3,3,Pickle Rick,Morty,Rick? W-where are you?
1299,1682,3,3,Pickle Rick,Pickle Rick,"On my work bench, Morty."
1300,1683,3,3,Pickle Rick,Morty,"Are you invisible and you're gonna, like, fart on me?"
1301,1684,3,3,Pickle Rick,Pickle Rick,Flip the pickle over.
1302,1685,3,3,Pickle Rick,Morty,"What, I'm gonna touch it, and you're gonna tell me it's an alien dick or something."
1303,1686,3,3,Pickle Rick,Pickle Rick,"Come on, flip the pickle, Morty. You're not gonna regret it. The payoff is huge."
1304,1688,3,3,Pickle Rick,Morty,And?
1305,1689,3,3,Pickle Rick,Pickle Rick,"""And""? What more do you want tacked on to this? I turned myself into a pickle, and 9/11 was an inside job?"
1306,1690,3,3,Pickle Rick,Morty,Was it?
1307,1691,3,3,Pickle Rick,Pickle Rick,"Who cares, Morty? Global acts of terrorism happen every day. Uh, here's something that's never happened before"
1308,1692,3,3,Pickle Rick,Morty,"Are you going to, I mean, you know, is this the first part of some magic trick?"
1309,1693,3,3,Pickle Rick,Pickle Rick,"I don't do magic, Morty, I do science. One takes brains, the other takes dark eye liner."
1310,1694,3,3,Pickle Rick,Morty,"Well, can you move? Can you fly?"
1311,1695,3,3,Pickle Rick,Pickle Rick,I wouldn't be much of a pickle if I could.
1312,1696,3,3,Pickle Rick,Morty,"All right, well, do pickles live forever or --"
1313,1697,3,3,Pickle Rick,Pickle Rick,"Morty, stop digging for hidden layers and just be impressed. I'm a pickle."
1314,1698,3,3,Pickle Rick,Morty,I-I'm just trying to figure out why you would do this. Why anyone would do this.
1315,1699,3,3,Pickle Rick,Pickle Rick,"The reason anyone would do this is, if they could, which they can't, would be because they could, which they can't."
1316,1700,3,3,Pickle Rick,Beth,"Morty, we have to get going, or we're gonna be late. Where's your grandpa?"
1317,1701,3,3,Pickle Rick,Pickle Rick,"Right here, sweetie. I'm a pickle!"
1318,1702,3,3,Pickle Rick,Beth,"What?! Why would you -- Look, we're running late. We have to go."
1319,1703,3,3,Pickle Rick,Pickle Rick,Where are you guys going?
1320,1704,3,3,Pickle Rick,Beth,"We have an appointment downtown that was set a week ago and agreed upon by everyone, including you."
1321,1705,3,3,Pickle Rick,Pickle Rick,"Oh, my God. Beth, oh, it totally slipped my mind. Geez, oh, man. I'm a pickle. I mean, I don't know if I can, ooh, geez."
1322,1706,3,3,Pickle Rick,Morty,"Rick, did you do this on purpose to get out of family counseling?"
1323,1707,3,3,Pickle Rick,Beth,Morty!
